image_id,width,height,bbox,source
002310_jpg.rf.0008cd4590d2edb0e1447329236d9c11.jpg,500,332,"[428, 63, 35, 35]",helmet_2
002310_jpg.rf.0008cd4590d2edb0e1447329236d9c11.jpg,500,332,"[267, 122, 34, 34]",helmet_2
003626_jpg.rf.0024e8fc3c8c3f411962ca8dab7b8e92.jpg,450,300,"[149, 100, 56, 73]",helmet_2
003626_jpg.rf.0024e8fc3c8c3f411962ca8dab7b8e92.jpg,450,300,"[100, 115, 63, 79]",helmet_2
003626_jpg.rf.0024e8fc3c8c3f411962ca8dab7b8e92.jpg,450,300,"[198, 135, 41, 78]",helmet_2
004785_jpg.rf.002ffb29898b3cba483a76e8b73d91a8.jpg,199,300,"[238, 197, 54, 56]",helmet_2
004785_jpg.rf.002ffb29898b3cba483a76e8b73d91a8.jpg,199,300,"[216, 115, 56, 51]",helmet_2
004024_jpg.rf.00402006dfe53bad7f453cfcf4538282.jpg,500,335,"[19, 10, 31, 34]",helmet_2
004024_jpg.rf.00402006dfe53bad7f453cfcf4538282.jpg,500,335,"[81, 59, 29, 31]",helmet_2
004024_jpg.rf.00402006dfe53bad7f453cfcf4538282.jpg,500,335,"[315, 180, 24, 32]",helmet_2
004024_jpg.rf.00402006dfe53bad7f453cfcf4538282.jpg,500,335,"[371, 191, 28, 38]",helmet_2
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[350, 97, 36, 38]",head_1
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[73, 94, 35, 44]",head_1
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[420, 106, 53, 56]",head_1
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[35, 112, 43, 54]",head_1
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[104, 97, 27, 32]",head_1
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[318, 90, 31, 36]",head_1
005286_jpg.rf.004d1ff1d82e3cac7922548a1ec94fbe.jpg,500,750,"[232, 93, 20, 24]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[240, 58, 35, 40]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[418, 22, 59, 61]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[310, 68, 32, 39]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[162, 63, 32, 36]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[339, 67, 28, 38]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[394, 65, 30, 36]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[278, 62, 29, 34]",head_1
002134_jpg.rf.0032ee88e18de84041793e2d65fd3b90.jpg,500,774,"[115, 82, 22, 27]",head_1
001610_jpg.rf.006103529fc80e9c18b76eff2432e223.jpg,500,350,"[419, 143, 54, 51]",helmet_2
001610_jpg.rf.006103529fc80e9c18b76eff2432e223.jpg,500,350,"[319, 112, 79, 66]",helmet_2
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[54, 132, 30, 32]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[102, 140, 24, 30]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[220, 142, 22, 25]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[373, 142, 24, 25]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[147, 150, 21, 23]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[186, 147, 20, 23]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[253, 147, 18, 24]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[289, 138, 20, 24]",head_1
004434_jpg.rf.002a70f061745a217db4320ae7b402a7.jpg,439,329,"[331, 146, 20, 23]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[301, 100, 29, 35]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[340, 121, 30, 37]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[199, 111, 24, 26]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[277, 109, 18, 23]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[154, 116, 20, 25]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[131, 119, 19, 22]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[122, 119, 11, 17]",head_1
004858_jpg.rf.002ab521984d81c7400faa6f916f5a01.jpg,600,400,"[180, 120, 15, 18]",head_1
